iter	Passed	Remaining
0	59	29785
1	65	16256
2	73	12157
3	80	9924
4	85	8430
5	90	7465
6	97	6893
7	107	6587
8	124	6766
9	133	6543
10	141	6275
11	147	5999
12	154	5771
13	159	5547
14	165	5352
15	172	5223
16	178	5062
17	186	4983
18	192	4867
19	197	4751
20	203	4637
21	208	4540
22	215	4463
23	219	4362
24	224	4274
25	229	4189
26	234	4112
27	239	4037
28	244	3968
29	249	3904
30	253	3841
31	258	3787
32	263	3732
33	268	3679
34	273	3630
35	278	3586
36	282	3537
37	287	3494
38	292	3457
39	296	3412
40	301	3380
41	307	3349
42	311	3314
43	316	3283
44	322	3256
45	327	3231
46	332	3207
47	338	3183
48	343	3160
49	348	3134
50	353	3112
51	359	3094
52	363	3068
53	370	3055
54	375	3036
55	380	3015
56	385	2994
57	390	2973
58	395	2952
59	399	2932
60	405	2917
61	410	2903
62	415	2881
63	420	2862
64	425	2846
65	430	2827
66	435	2813
67	439	2791
68	443	2768
69	448	2752
70	453	2742
71	458	2728
72	463	2711
73	468	2698
74	474	2687
75	479	2677
76	485	2665
77	490	2653
78	495	2639
79	499	2624
80	504	2608
81	510	2600
82	514	2586
83	519	2573
84	524	2559
85	528	2546
86	533	2532
87	538	2521
88	543	2508
89	547	2493
90	552	2483
91	557	2473
92	562	2459
93	565	2444
94	571	2434
95	576	2424
96	580	2413
97	585	2402
98	590	2392
99	595	2381
100	601	2375
101	616	2405
102	621	2396
103	626	2386
104	632	2378
105	637	2368
106	642	2358
107	647	2350
108	652	2339
109	657	2330
110	661	2319
111	666	2309
112	671	2300
113	676	2290
114	681	2281
115	686	2271
116	690	2261
117	695	2250
118	700	2241
119	705	2233
120	710	2223
121	714	2212
122	719	2204
123	725	2198
124	728	2185
125	733	2176
126	738	2169
127	743	2161
128	748	2152
129	753	2145
130	758	2136
131	762	2126
132	767	2117
133	772	2108
134	777	2102
135	794	2126
136	799	2118
137	807	2117
138	813	2112
139	818	2104
140	824	2098
141	828	2088
142	833	2080
143	840	2077
144	844	2067
145	850	2060
146	855	2053
147	860	2046
148	866	2041
149	872	2036
150	878	2031
151	884	2024
152	889	2016
153	894	2009
154	898	2000
155	904	1993
156	908	1984
157	913	1976
158	918	1968
159	923	1961
160	927	1953
161	932	1945
162	937	1937
163	941	1929
164	946	1921
165	951	1913
166	955	1906
167	960	1898
168	965	1890
169	969	1882
170	974	1874
171	978	1866
172	983	1859
173	988	1852
174	993	1845
175	998	1838
176	1003	1830
177	1008	1823
178	1012	1816
179	1018	1811
180	1023	1803
181	1027	1795
182	1032	1788
183	1037	1780
184	1041	1773
185	1045	1765
186	1050	1758
187	1055	1751
188	1059	1743
